[19:58]: Collected image: datasets\User.1.8.jpg
[19:58]: Collected image: datasets\User.1.9.jpg
[19:58]: Collected image: datasets\User.1.10.jpg
[19:58]: Collected image: datasets\User.1.11.jpg
[19:58]: Collected image: datasets\User.1.12.jpg
[19:58]: Collected image: datasets\User.1.13.jpg
[19:58]: Collected image: datasets\User.1.14.jpg
[19:58]: Collected image: datasets\User.1.15.jpg
[19:58]: Collected image: datasets\User.1.16.jpg
[19:58]: Collected image: datasets\User.1.17.jpg
[19:58]: Collected image: datasets\User.1.18.jpg
[19:58]: Collected image: datasets\User.1.19.jpg
[19:58]: Collected image: datasets\User.1.20.jpg
[19:58]: Collected image: datasets\User.1.21.jpg
[19:58]: Collected image: datasets\User.1.22.jpg
[19:58]: Collected image: datasets\User.1.23.jpg
[19:58]: Collected image: datasets\User.1.24.jpg
[19:58]: Collected image: datasets\User.1.25.jpg
[19:58]: Collected image: datasets\User.1.26.jpg
[19:58]: Collected image: datasets\User.1.27.jpg
[19:58]: Collected image: datasets\User.1.28.jpg
[19:58]: Collected image: datasets\User.1.29.jpg
[19:58]: Collected image: datasets\User.1.30.jpg
[19:58]: Collected image: datasets\User.1.31.jpg
[19:58]: Collected image: datasets\User.1.32.jpg
[19:58]: Collected image: datasets\User.1.33.jpg
[19:58]: Collected image: datasets\User.1.34.jpg
[19:58]: Collected image: datasets\User.1.35.jpg
[19:58]: Collected image: datasets\User.1.36.jpg
[19:58]: Collected image: datasets\User.1.37.jpg
[19:58]: Collected image: datasets\User.1.38.jpg
[19:58]: Collected image: datasets\User.1.39.jpg
[19:58]: Collected image: datasets\User.1.40.jpg
[19:58]: Collected image: datasets\User.1.41.jpg
[19:58]: Collected image: datasets\User.1.42.jpg
[19:58]: Collected image: datasets\User.1.43.jpg
[19:58]: Collected image: datasets\User.1.44.jpg
[19:58]: Collected image: datasets\User.1.45.jpg
[19:58]: Collected image: datasets\User.1.46.jpg
[19:58]: Collected image: datasets\User.1.47.jpg
[19:58]: Collected image: datasets\User.1.48.jpg
[19:58]: Collected image: datasets\User.1.49.jpg
[19:58]: Collected image: datasets\User.1.50.jpg
[19:58]: Collected image: datasets\User.1.51.jpg
[19:58]: Collected image: datasets\User.1.52.jpg
[19:58]: Collected image: datasets\User.1.53.jpg
[19:58]: Collected image: datasets\User.1.54.jpg
[19:58]: Collected image: datasets\User.1.55.jpg
[19:58]: Collected image: datasets\User.1.56.jpg
[19:58]: Collected image: datasets\User.1.57.jpg
[19:58]: Collected image: datasets\User.1.58.jpg
[19:58]: Collected image: datasets\User.1.59.jpg
[19:58]: Collected image: datasets\User.1.60.jpg
[19:58]: Collected image: datasets\User.1.61.jpg
[19:58]: Collected image: datasets\User.1.62.jpg
[19:58]: Collected image: datasets\User.1.63.jpg
[19:58]: Collected image: datasets\User.1.64.jpg
[19:58]: Collected image: datasets\User.1.65.jpg
[19:58]: Collected image: datasets\User.1.66.jpg
[19:58]: Collected image: datasets\User.1.67.jpg
[19:58]: Collected image: datasets\User.1.68.jpg
